Name,In Charge,Industry,Type,Tech,PM,Keep Confidential,confidential title,Country,Ref or website,SA,Member,Files,Summary EN,Summary CN,"Challenges, solutions and results EN","Challenges, solutions and results CN",Kickoff Date,On 4idps Website
17 live,,,,,,,,Taiwan,,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/messageImage_1664357866542.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/messageImage_1664357863207.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/messageImage_1664357855856.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/messageImage_1664357851823.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/messageImage_1664357847256.jpg",,,,,,
ABC Mart,Corrado,"E-commerce, Logistics, Retail, Sports","APP, eCommerce","Azure, C#, Design, JAVA",,No,,Taiwan,https://www.abc-mart.com.tw,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/ABC_Mart.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/ABC_Mart.png","Our client is a leading retailer of sports fashion goods. The goal of this project was to publish an interactive catalogue using our proprietary app publishing software and expertise, to reach a wider audience, and improve the brand messaging.","某零售公司為鞋類批發零售業的領導者，並且代理許多國內、外知名休閒運動鞋類品牌
專案主要任務為使用4i TECH專利的APP發佈軟體導入互動式電子型錄，目標是透過APP擴大觸及更多用戶並推廣品牌訊息","Challenges:
1) our client has a strong branding expertise and as such it was challenging to meet their design expectations.
2) It was critically important that the app be promoted properly in order for it to work well - however, as we were not in charge of this aspect of the project, we depended on it in order for the project to be successful in the end.
Solution: We worked closely with the client teams in order to be able to publish the app in the required quality and on time, and to assure that it also gets promoted.
Result: The app was published on time and enjoyed a tremendous success in terms of downloads.","Challenges 挑戰/ 主要問題: 
1)客戶對於品牌形象、視覺有嚴謹的品牌規範，因此在打造軟體的視覺設計時需要相當高的設計品質
2)APP需要配合促銷活動，然而因4i TECH並不直接管理促銷活動，因此APP推廣上相當依賴業務活動
Solution 解決方案/ 導入過程: 開發人員密切與客戶及業務端合作，開發適用的APP軟體，並確保產品與策略期望保持一致。
Result 成效: 時程內交付APP，APP下載量也達成客戶的目標數",,Yes
Advantek,Alan,"Hardware, Manufacturing","ERP, Team augmentation",,Alan Feng,Yes,Manufacturer of industrial computers,Taiwan,https://www.advantek.com,,,,Our client is the world’s leading provider of precision component delivery systems. Our project entailed the integration of the supply chain management system with SAP,客戶是世界領先的精密元件輸送系統供應商。 我們需要將其供應鏈管理系統與 SAP 整合。,"Challenges: the system analysis was very complex due to the complexity of the business
Solution: we organised meetings with various constituents in order to understand everyone's needs and to make sure that the final product works for everyone
Result: the system was delivered to everyone's satisfaction","Challenges 挑戰/ 主要問題:由於業務的複雜性，導致系統分析上有相當高的挑戰性   
Solution 解決方案/ 導入過程: 我們組織了不同部門間的會議，以了解各個部門的需求並確保最終產品適合每個人
Result 成效: 交付成果令客戶相當滿意",,Yes
Airiti,Alan,"Education, Media & Entertainment, Software","APP, B2B, B2C, CMS, eCommerce","C#, JAVA",Alan Feng,Yes,E-library,Taiwan,https://www.airitilibrary.com,,,,Our client is the leading e-library for educational books. The project entailed the development of a new generation of eReading apps for iOS and Android.,我們的客戶是提供教育類書籍的線上圖書館，我們需要協助開發適用於 iOS 和 Android 的電子書APP。,"Challenges:
1) since we were assigned to do the development independently of our client's internal teams, we needed to take a lot of technical decisions on our own.
2) while iOS and Android have different functionalities, we needed to assure that the ""look&feel"" of both apps are identical
Solution: Our iOS and Android development teams had daily  meetings to decide on the technological approach, and to co-ordinate the functionalities.
Result: The apps were delivered to the client's full satisfaction","Challenges 挑戰/ 主要問題: 1) 專案大致上獨立於客戶的內部團隊進行開發，因此我們需要自行做出很多技術決策。 2) 雖然 iOS 和 Android 具不同的功能，但我們需要確保讓兩者在應用程序的介面和外觀是相同的。
Solution 解決方案/ 導入過程: 我們的 iOS 和 Android 開發團隊日常地開會來決定技術方法並協調功能。
Result 成效: 最終交付的APP符合客戶需求。",,Yes
AK Ski,Corrado,"B2B, Fashion&Beauty, Manufacturing, Retail, Travel","B2C, CMS, Maintenance, Website, eCommerce","Design, Google Ads, Wix",Corrado von Planta,No,,Switzerland,www.ak-ski.ch,,Eva Lin,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.40.09_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.40.32_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.40.42_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.41.02_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.41.31_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.41.52_PM.png","Our client is a leading premium ski brand from Switzerland. The project entailed modernising their web presence, integrating new fashion business lines, and running ads on google / following up on their success",某零售製造業公司為瑞士知名的滑雪品牌，專案主要任務為製作全新的網站以提高品牌的網路知名度，並透過廣告推播的方式跟進後續成效,"Challenges: considering that the site is trilingual, in addition to design, we needed to make sure that the SEO is optimised in all 3 languages.
Solution: We created 3 separate sites to assure maximum efficiency of each language version.
Result: the site drastically improved the brand's online presence and traffic, while maintaining the owners' core values","Challenges 挑戰/主要問題： 因為是多語系網站，除了網頁設計以外，我們需要確保網站分別針對各種不同的語言，來做對應的 SEO 優化
Solution 解決方便/導入過程：我們分別架設3個語系的網站，並確保每個網站能夠極大化SEO的效益
Result成效： 該網站有效提升品牌網路形象和網站流量，同時保留了業主的核心價值",,Yes
Alicia's Kitchen Style,Corrado,"Fashion&Beauty, Media & Entertainment","APP, B2C","Apex, Azure, Digital Publishing, Visualforce",,No,,Taiwan,https://www.facebook.com/cook.with.alicia/,,Eva Lin,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_3.55.55_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_3.56.36_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_3.57.02_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Alicia-icon.png",Our client is a start-up which focuses on the growing home cooking trend. The purpose of the project was to publish cookbooks online,Alicia's kitchen style是一家新創餐飲公司，致力於推廣新型態家常餐飲，專案目的為客戶製作美食數位雜誌。,"Challenges: dealing with a start-up meant that we were mainly in charge of the design part as well as the technology.
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design
Result: Our client's magazine was highly successful in the marketplace","Challenges挑戰/主要問題：除了軟體開發外，我們負責大部分的介面與設計細節。
Solution 解決方便/導入過程：專案需要相當完整的設計細節，因此我們投入一個完整的設計團隊。
Result成效：做為台灣第一本 iPad 數位美食雜誌，結合餐飲和廚房的各項細節，成功的引領台灣讀者透過數位的方式感受餐飲生活。",,Yes
All In One,Alan,"Life Sciences & Healthcare, Software","APP, B2C",,Alan Feng,No,,China,https://www.drlu168.com,,,,"Our client has developed a health measurement device. We were commissioned to develop the app for the device, which includes receiving and displaying the device's measurements (via bluetooth), as well as pdf output",客戶開發了一種健康監測設備，我們受委託為設備開發應用程式，其中包括接收和顯示設備的測量值（通過藍牙）以及 pdf 輸出。,"Challenges:
Android mobile devices often have unstable bluetooth modules, which complicates the development. The time was also very short.
Solutions:
We tested the app on the top 5 Android phones to make sure that the app works without problems
Result: We delivered the app on time and to the client's full satisfaction.","Challenges挑戰/主要問題：Android 手機的藍芽模組較不穩定，這使的我們在開發上變得更加複雜，此外上線的時程也很緊迫。
Solution 解決方便/導入過程：我們在排名前 5 名的 Android 手機上測試了APP應用程式，以確保其能正常運行。
Result成效：我們除了按時交付APP應用程式，成品也符合客戶的要求。",,Yes
Ambiance,Corrado,"Fashion&Beauty, Media & Entertainment","APP, B2C","Design, Digital Publishing",Alan Feng,No,,Switzerland,https://www.swissdeluxehotels.com/en,,"Alan Feng, Eva Lin","Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Ambiance.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.05.57_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.06.36_PM.png",Our client is a Swiss luxury hotel organisation which publishes a bi-yearly lifestyle magazine. We were commissioned to produce their digital edition.,Ambiance客戶是一家瑞士豪華酒店組織，該組織每兩年出版一本生活方式雜誌。我們受委託製作他們的數位雜誌。,"Challenges:
The style part of the magazine has to follow very stringent requirements. On top of that, we had to switch from ""picture perfect"" to free-flowing format after a few editions.
Solutions:
We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design. We also developed a proprietary bookshop which was able to accommodate various publishing formats
Result: Our client's magazine was highly successful in the marketplace","Challenges挑戰/主要問題: 雜誌的風格部分必須遵循非常嚴格的要求。最重要的是，我們不得不在幾個版本後從“picture perfectc換成到“free-flowing format”
Solution 解決方便/導入過程：我們建立了一個完整的設計團隊確保我們能滿足客戶對設計的需求，我們更進一步開發了一個能夠容納多種出版格式的數位出版軟體。
Result成效：我們協助客戶出版的雜誌在市場上非常成功",,Yes
Asama Bicycles,Jerry,"Life Sciences & Healthcare, Logistics, Manufacturing","Business Model Consulting, ERP",,,No,,Taiwan,,,,,Our client is a bicycle manufacturing enterprise. We were called on to consult on bom builder.,Asama Bicycles 是一家自行車製造商，希望諮詢如何打造 BOM builder。,"Challenges: The raw materials and supply chains management of bicycle manufacturers is extremely complex. To do the system analysis, we therefore needed to consult with many business units in order to understand and define the business logic.
Solutions: Our team went onsite for a week and worked closely with client's IT, procurement, product development and manufacturing teams.
Result: We created a comprehensive System Analysis Report.","Challenges 挑戰/ 主要問題: 自行車製造商的原物料和供應鏈管理極其複雜。為了進行系統分析，我們需要與許多業務部門諮詢，以了解與定義業務邏輯。
Solution 解決方案/ 導入過程: 我們的團隊實地用一週的時間駐點與客戶的 IT、採購、產品開發和製造團隊密切合作。 
Result 成效: 我們成功為客戶建立了一份全面的分析報告系統。",,Yes
Babyjoy,Amos,"E-commerce, Retail","Salesforce, eCommerce",,Amos Chuang,No,,Taiwan,,Amos Chuang,,,Our client is a large distributor of children's goods. The project was to connect their POS system to salesforce in order to increase transparency.,Babyjoy是一家大型兒童用品經銷商。專案需要將他們的 POS機模組開發並將其系統連接到 Salesforce，以實現業務透明化。,"Challenge:
Our client didn't have the ability to analyse real-life sales data in order to make business decisions
Solution:
Import the POS module into Salesforce and integrate it with the sales front desk in order to monitor inventory in time
Result:
The sales data can now be fully utilized to forecast future sales. This allows for efficient inventory management.","Challenges:
客戶無法即時掌握銷售狀況以及分析銷售數據
Solution:
在Salesforce導入POS模組，並與銷售前台整合，可以及時監控庫存
Result:
如此一來可以完整利用銷售數據，預測未來的銷售狀況，有效管理存貨數量。",,Yes
